title,Authors,1stAuthor,result-from,result-id,result-pub_date,result-title,result-ttl_similarity,result-author,result-link,result-pdf_link
Global Optimization Networks,Sen Zhao (Google Research) · Erez Louidor (Google) · Maya Gupta (Google),Sen Zhao,arXiv,http://arxiv.org/abs/2202.01277v1,2022-02-02T20:44:07Z,Global Optimization Networks,1.0,Maya Gupta,http://arxiv.org/abs/2202.01277v1,http://arxiv.org/pdf/2202.01277v1
Spatial-channel Token Distillation of MLP-like Vision Models,"Yanxi Li (University of Sydney) · Xinghao Chen (Huawei Noah's Ark Lab) · Minjing Dong (The University of Sydney) · Yehui Tang (Peking University) · Yunhe Wang (Noah's Ark Lab, Huawei Technologies.) · Chang Xu (University of Sydney)",Yanxi Li,Google,,,MLP-Mixer: An all-MLP Architecture for ,0.162,,https://arxiv.org/pdf/2105.01601,
Omni-Granular Ego-Semantic Propagation for Self-Supervised Graph Representation Learning,Ling Yang (Peking University) · Shenda Hong (Peking University),Ling Yang,arXiv,http://arxiv.org/abs/2205.15746v1,2022-05-31T12:31:33Z,"Omni-Granular Ego-Semantic Propagation for Self-Supervised Graph
  Representation Learning",0.989,Shenda Hong,http://arxiv.org/abs/2205.15746v1,http://arxiv.org/pdf/2205.15746v1
State Transition of Dendritic Spines Improves Learning of Sparse Spiking Neural Networks,Yanqi Chen (Peking University) · Zhaofei Yu (Peking University) · Wei Fang (Peking University) · Zhengyu Ma (Peng Cheng Lab) · Tiejun Huang (Peking University) · Yonghong Tian (Peking University),Yanqi Chen,,,,,0.0,,,
Smoothed Adaptive Weighting for Imbalanced Semi-Supervised Learning: Improve Reliability Against Unknown Distribution Data,Zhengfeng Lai (University of California Davis) · Chao Wang (Southern University of Science and Technology) · Henrry Gunawan (UC Davis) · Senching Cheung (University of Kentucky) · Chen-Nee Chuah (University of California Davis),Zhengfeng Lai,Google,,,arXiv:2102.09559v2 [cs.CV] 17 Jun 2021,0.1,,https://arxiv.org/pdf/2102.09559,
QSFL: A Two-Level Uplink Communication Optimization Framework for Federated Learning,Liping Yi (Nankai University) · Wang Gang (Nankai Univerisity) · Liu Xiaoguang (Nankai Univerisity),Liping Yi,Google,,,Accepted Papers - ICML,0.151,,https://icml.cc/Conferences/2022/AcceptedPapersInitial,
MonePipe: Accelerating Momentum Network Training with Pipelines,Hwijoon Lim (KAIST) · Yechan Kim (KAIST) · Jinwoo Shin (KAIST) · Dongsu Han (KAIST),Hwijoon Lim,Google,,,Accepted Papers - ICML,0.212,,https://icml.cc/Conferences/2022/AcceptedPapersInitial,
Bitwidth Heterogeneous Federated Learning with Progressive Weight Dequantization,"Jaehong Yoon (KAIST) · Geon Park (KAIST) · Wonyong Jeong (Korea Advanced Institute of Science and Technology) · Sung Ju Hwang (KAIST, AITRICS)",Jaehong Yoon,arXiv,http://arxiv.org/abs/2202.11453v2,2022-02-23T12:07:02Z,"Bitwidth Heterogeneous Federated Learning with Progressive Weight
  Dequantization",0.988,Sung Ju Hwang,http://arxiv.org/abs/2202.11453v2,http://arxiv.org/pdf/2202.11453v2
On Collective Robustness of Bagging Against Data Poisoning,Ruoxin Chen (Shanghai Jiao Tong University) · Zenan Li (Shanghai Jiao Tong University) · Jie Li (Shanghai Jiao Tong University) · Junchi Yan (Shanghai Jiao Tong University) · Chentao Wu (Shanghai Jiao Tong University),Ruoxin Chen,arXiv,http://arxiv.org/abs/2205.13176v1,2022-05-26T06:27:39Z,On Collective Robustness of Bagging Against Data Poisoning,1.0,Junchi Yan,http://arxiv.org/abs/2205.13176v1,http://arxiv.org/pdf/2205.13176v1
PAC-Net: A Model Pruning Approach to Inductive Transfer Learning,"Sanghoon Myung (Samsung Electronics) · In Huh (Samsung Electronics) · Wonik Jang (Samsung Electronics) · Jae Myung Choe (Samsung Electronics) · jisu ryu (Samsung Electronics) · Changwook Jeong (UNIST) · Daesin Kim (Data & Information Technology Center, Samsung Electronics) · Kee-Eung Kim (KAIST)",Sanghoon Myung,,,,,0.0,,,
